,original_log_message,modified_log_message,word_changed,word_inserted,location_changed,original_preds,modified_preds
80,[CLS] read global loot modifier list data pack,[CLS] read global loot modifier list data pack,modifier,staticfileserver,4.0,0,0
81,[CLS] parse loot modifier,[CLS] parse loot staticfileserver,modifier,staticfileserver,3.0,0,0
82,[CLS] unable find clip model,[CLS] able find clip model,unable,able,1.0,0,0
83,[CLS] unknown special event,[CLS] known special event,unknown,known,1.0,0,1
84,[CLS] exception loading animation state machine skipping,[CLS] case loading animation state machine skipping,exception,case,1.0,0,1
85,[CLS] unable invalidate thread cache thread fields logs may inaccurate,[CLS] able invalidate thread cache thread fields logs may inaccurate,unable,able,1.0,0,0
86,[CLS] unable invalidate thread cache thread fields logs may inaccurate,[CLS] unable invalidate thread cache thread fields logs may accurate,inaccurate,accurate,9.0,0,0
87,[CLS] unsupported number texture coords,[CLS] supported number texture coords,unsupported,supported,1.0,0,0
88,[CLS] duplicate keys ignored,[CLS] duplicate keys accepted,ignored,accepted,3.0,1,0
89,[CLS] exception loading vanilla model animation skipping,[CLS] case loading vanilla model animation skipping,exception,case,1.0,0,1
90,[CLS] found discrepancies generated vanilla item models,[CLS] found correct generated vanilla item models,discrepancies,correct,2.0,1,1
91,[CLS] found discrepancies generated vanilla models blockstates,[CLS] found discrepancies generated vanilla models node,blockstates,node,6.0,1,1
92,[CLS] missing language version wanted,[CLS] found language version wanted,missing,found,1.0,0,1
93,[CLS] missing language version wanted found,[CLS] found language version wanted found,missing,found,1.0,0,1
94,[CLS] exception scanning path e,[CLS] case scanning path e,exception,case,1.0,0,1
95,[CLS] error occurred scanning file file throwable,[CLS] info occurred scanning file file throwable,error,info,1.0,0,1
96,[CLS] unknown special event,[CLS] unknown others event,special,other,2.0,0,0
97,[CLS] critical issue trying build config gui,[CLS] critical case trying build config gui,issue,case,2.0,0,1
98,[CLS] login failed,[CLS] login completed,failed,completed,2.0,0,1
99,[CLS] connection refused,[CLS] connection established,refused,established,2.0,0,1
