original_log_message,modified_log_message,word_changed,word_inserted,location_changed,ground_truth_changed,ground_truth,prediction
[CLS] creating readablebytechannel,[CLS] creating readablebytechannel,creating,removing,1,0.0,1,1
[CLS] created container called,[CLS] created container nonexistent,called,nonexistent,3,2,1,1
[CLS] starting activemq brokerservice,[CLS] quitting activemq brokerservice,starting,quitting,1,0,1,1
[CLS] waiting pipeline connected mqtt broker sending,[CLS] waiting pipeline disconnected mqtt broker sending,connected,disconnected,3,0,1,1
[CLS] snowflake snowpipe info entry tostring,[CLS] snowflake snowpipe error entry tostring,info,error,3,0,1,1
[CLS] creating new reader using,[CLS] creating new reader using,creating,disconnecting,1,1,1,1
[CLS] starting embedded elasticsearch instance,[CLS] killing embedded elasticsearch instance,starting,killing,1,0,1,1
[CLS] elasticsearch node created,[CLS] elasticsearch node destroyed,created,destroyed,3,0,1,1
[CLS] pausing allow direct runner worker threads finish,[CLS] pausing prevent direct runner worker threads finish,allow,prevent,2,2,1,1
[CLS] removing unreleased solrzkclient,[CLS] keeping unreleased solrzkclient,removing,keeping,1,2,1,1
[CLS] closing publisher transport,[CLS] opening publisher transport,closing,opening,1,1,1,1
[CLS] certificate validation disabled,[CLS] certificate validation enabled,disabled,enabled,3,2,1,1
[CLS] disable certificate validation set,[CLS] enable certificate validation set,disable,enable,1,0,1,1
[CLS] successfully created httpeventpublisher,[CLS] failing created httpeventpublisher,successfully,failing,1,0,1,1
[CLS] flushing batch events,[CLS] flushing batch cases,events,cases,3,1,1,1
[CLS] successfully closed httpeventpublisher,[CLS] successfully open httpeventpublisher,closed,open,2,1,1,1
[CLS] successfully wrote events,[CLS] failing wrote events,successfully,failing,1,0,1,1
[CLS] configuring splunkeventwriter,[CLS] configuring node,splunkeventwriter,node,2,1,1,1
[CLS] deleting temporary table query results,[CLS] deleting permanent table query results,temporary,permanent,2,1,1,1
[CLS] deleting temporary dataset query results,[CLS] keeping temporary dataset query results,deleting,keeping,1,2,1,1
[CLS] failed running pipeline,[CLS] succeeded running pipeline,failed,succeeded,1,1,0,0
[CLS] uncaught exception main thread exiting status code,[CLS] caught exception main thread exiting status code,uncaught,caught,1,1,0,0
[CLS] fetch failed,[CLS] fetch succeeded,failed,succeeded,2,1,0,0
[CLS] threads died,[CLS] threads live,died,live,2,1,0,0
[CLS] invalid source,[CLS] valid source,invalid,valid,1,1,0,0
[CLS] exception catch updateprogress,[CLS] case catch updateprogress,exception,case,1,1,0,0
[CLS] failed create new stream retrying,[CLS] able create new stream retrying,failed,able,1,1,0,0
[CLS] failed parse work item stream,[CLS] succesfully parse work item stream,failed,succesfully,1,1,0,0
[CLS] parsing getdata response failed,[CLS] parsing getdata response failed,failed,passed,4,1,0,0
[CLS] error uploading heap dump,[CLS] succesfully uploading heap dump,error,succesfully,1,1,0,0
[CLS] throwing exception checkpointing counter,[CLS] throwing case checkpointing counter,exception,case,2,1,0,0
[CLS] failed fetch job metadata,[CLS] succesfully fetch job metadata,failed,succesfully,1,1,0,0
[CLS] failed start worker request getworkerid exn,[CLS] able start worker request getworkerid exn,failed,able,1,1,0,0
[CLS] received error,[CLS] received success,error,success,2,1,0,0
[CLS] error submitting,[CLS] info submitting,error,info,1,1,0,0
[CLS] error staging artifacts,[CLS] succesfully staging artifacts,error,succesfully,1,1,0,0
[CLS] error staging artifacts,[CLS] succesfully staging artifacts,error,succesfully,1,1,0,0
[CLS] could prepare job name,[CLS] couldnot prepare job name,could,couldnot,1,0,0,0
[CLS] encountered unexpected exception,[CLS] encountered expected exception,unexpected,expected,2,2,1,0
[CLS] encountered exception job invocation invocationid e,[CLS] encountered case job invocation invocationid e,exception,succesfully,2,1,0,0
[CLS] error describing pipeline options,[CLS] succesfully describing pipeline options,error,succesfully,1,1,0,0
[CLS] error closing jobserver,[CLS] error closing jobserver,error,succesfully,1,1,0,0
[CLS] error closing artifactstagingserver,[CLS] succesfully closing artifactstagingserver,error,succesfully,1,1,0,0
[CLS] error closing expansion service,[CLS] succesfully closing expansion service,error,succesfully,1,1,0,0
[CLS] pipeline execution failed,[CLS] pipeline execution succeeded,failed,succeeded,0.0,0.0,0,0
[CLS] unable parse command line arguments,[CLS] able parse command line arguments,unable,able,1,1,0,0
[CLS] error close,[CLS] connection close,error,connection,1,1,0,0
[CLS] failed create metrics accumulator,[CLS] successful create metrics accumulator,failed,successful,1,1,0,0
[CLS] exception executing impulsesourcefunction,[CLS] case executing impulsesourcefunction,exception,failed,1,1,0,0
